Data,Plan Name,Mean Return
0.035233665,Research Affiliates,0.051574892
0.013715758,Research Affiliates,0.051574892
0.057854338,Research Affiliates,0.051574892
0.043763151,Research Affiliates,0.051574892
0.054956605,Research Affiliates,0.051574892
0.048555452,Research Affiliates,0.051574892
0.082347913,Research Affiliates,0.051574892
0.028775275,Research Affiliates,0.051574892
0.082826312,Research Affiliates,0.051574892
0.05880275,Research Affiliates,0.051574892
0.038272083,Research Affiliates,0.051574892
0.040441844,Research Affiliates,0.051574892
0.030013136,Research Affiliates,0.051574892
0.043301666,Research Affiliates,0.051574892
0.039447715,Research Affiliates,0.051574892
0.047391007,Research Affiliates,0.051574892
0.045315227,Research Affiliates,0.051574892
0.045355222,Research Affiliates,0.051574892
0.028236149,Research Affiliates,0.051574892
0.025343142,Research Affiliates,0.051574892
0.059679348,Research Affiliates,0.051574892
0.057037545,Research Affiliates,0.051574892
0.020571046,Research Affiliates,0.051574892
0.059487318,Research Affiliates,0.051574892
-0.012219003,Research Affiliates,0.051574892
0.034518342,Research Affiliates,0.051574892
0.04108145,Research Affiliates,0.051574892
0.039547478,Research Affiliates,0.051574892
0.048503137,Research Affiliates,0.051574892
